SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
219,fiji_KymographBuilder,travis_to_gha,zero-shot,gpt-4o,0.679119,0.417029
220,fiji_KymographBuilder,travis_to_gha,zero-shot,mistral_7b,0.693696,0.211254
221,fiji_KymographBuilder,gha_to_travis,zero-shot,gemma3_12b,0.311925,0.125518
222,fiji_KymographBuilder,gha_to_travis,zero-shot,llama3_1_8b,0.298142,0.102643
223,fiji_KymographBuilder,gha_to_travis,zero-shot,gpt-4o,0.394676,0.152423
224,fiji_KymographBuilder,gha_to_travis,zero-shot,mistral_7b,0.099381,0.046592
225,BentoBoxWorld_BSkyBlock,travis_to_gha,zero-shot,gemma3_12b,0.711063,0.391275
226,BentoBoxWorld_BSkyBlock,travis_to_gha,zero-shot,llama3_1_8b,0.657241,0.386588
227,BentoBoxWorld_BSkyBlock,travis_to_gha,zero-shot,gpt-4o,0.795153,0.532817
228,BentoBoxWorld_BSkyBlock,travis_to_gha,zero-shot,mistral_7b,0.703234,0.35465
229,BentoBoxWorld_BSkyBlock,gha_to_travis,zero-shot,gemma3_12b,0.338667,0.181071
230,BentoBoxWorld_BSkyBlock,gha_to_travis,zero-shot,llama3_1_8b,0.336011,0.183057
231,BentoBoxWorld_BSkyBlock,gha_to_travis,zero-shot,gpt-4o,0.369625,0.232104
232,BentoBoxWorld_BSkyBlock,gha_to_travis,zero-shot,mistral_7b,0.222295,0.068445
233,jnidzwetzki_bboxdb,travis_to_gha,zero-shot,gemma3_12b,0.705393,0.571499
234,jnidzwetzki_bboxdb,travis_to_gha,zero-shot,llama3_1_8b,0.763658,0.660963
235,jnidzwetzki_bboxdb,travis_to_gha,zero-shot,gpt-4o,0.619124,0.508632
236,jnidzwetzki_bboxdb,travis_to_gha,zero-shot,mistral_7b,0.689242,0.367663
237,jnidzwetzki_bboxdb,gha_to_travis,zero-shot,gemma3_12b,0.574252,0.661921
238,jnidzwetzki_bboxdb,gha_to_travis,zero-shot,llama3_1_8b,0.50396,0.50834
239,jnidzwetzki_bboxdb,gha_to_travis,zero-shot,gpt-4o,0.517789,0.492198
240,jnidzwetzki_bboxdb,gha_to_travis,zero-shot,mistral_7b,0.172792,0.13963
241,MineLittlePony_HDSkins,travis_to_gha,zero-shot,gemma3_12b,0.53722,0.164713
242,MineLittlePony_HDSkins,travis_to_gha,zero-shot,llama3_1_8b,0.628934,0.130422
243,MineLittlePony_HDSkins,travis_to_gha,zero-shot,gpt-4o,0.612545,0.135227
244,MineLittlePony_HDSkins,travis_to_gha,zero-shot,mistral_7b,0.606755,0.208134
245,MineLittlePony_HDSkins,gha_to_travis,zero-shot,gemma3_12b,0.430355,0.134535
